sku,series,brand,pdf_name,manual_type,pdf_location
ODCASTLEWD-42,castlewood,Majestic,castlewood42-owner.pdf,,Majestic/castlewood42-owner.pdf
ZCR2,,Modern Flames,Manual-ZCR-2_singles.pdf,,Modern Flames/Manual-ZCR-2_singles.pdf
ZCR3,,Modern Flames,Manual-Insert-Fire.pdf,,Modern Flames/Manual-Insert-Fire.pdf
ELI-BATTERY,,Modern Flames,Manual-Lithium-Battery-singles.pdf,,Modern Flames/Manual-Lithium-Battery-singles.pdf
NOVA60,,Modern Flames,Manual-Nova.pdf,,Modern Flames/Manual-Nova.pdf
SC36-B,,Modern Flames,Manual-Spectrum-REV2-single.pdf,,Modern Flames/Manual-Spectrum-REV2-single.pdf
SC50-B,,Modern Flames,Manual-Spectrum-REV2-single.pdf,,Modern Flames/Manual-Spectrum-REV2-single.pdf
SC74-B,,Modern Flames,Manual-Spectrum-REV2-single.pdf,,Modern Flames/Manual-Spectrum-REV2-single.pdf
SCO-26EL,,Modern Flames,Manual-Sunset-Charred-Oak-singles-rev-3.pdf,,Modern Flames/Manual-Sunset-Charred-Oak-singles-rev-3.pdf
SCO-20EL,,Modern Flames,Manual-Sunset-Charred-Oak-singles-rev-3.pdf,,Modern Flames/Manual-Sunset-Charred-Oak-singles-rev-3.pdf
FF43BILV,Builder,Modern Flames,MODERN_FLAMES_BUILDER_INSTALLATION_MANUAL.pdf,,Modern Flames/MODERN_FLAMES_BUILDER_INSTALLATION_MANUAL.pdf
SF40BILV,Builder,Modern Flames,MODERN_FLAMES_BUILDER_INSTALLATION_MANUAL.pdf,,Modern Flames/MODERN_FLAMES_BUILDER_INSTALLATION_MANUAL.pdf
1100PL,EPA Leg,Napoleon,1100P-C_1400P-C.pdf,,Napoleon/1100P-C_1400P-C.pdf
1100C,EPA Leg,Napoleon,1100P-C_1400P-C.pdf,,Napoleon/1100P-C_1400P-C.pdf
1400PL,EPA Leg,Napoleon,1100P-C_1400P-C.pdf,,Napoleon/1100P-C_1400P-C.pdf
1400C,EPA Leg,Napoleon,1100P-C_1400P-C.pdf,,Napoleon/1100P-C_1400P-C.pdf
1100,EPA Pedestal,Napoleon,1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf,,Napoleon/1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf
1150,EPA Pedestal,Napoleon,1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf,,Napoleon/1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf
1400,EPA Pedestal,Napoleon,1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf,,Napoleon/1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf
1450,EPA Pedestal,Napoleon,1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf,,Napoleon/1100-1400-1900-deluxe-epa-pedestal-wood-burining-stoves-manual.pdf
